상품명,상품설명,가격,할인정보,판매단위,중량/용량,배송구분,포장타입
무농약 간편 샐러드 6종,내 마음대로 골라담고 세척되어 바로 먹을 수 있는 신선한 샐러드,"1,700원",X,해당사항없음,해당사항없음,샛별배송/택배배송,냉장/종이포장
[순수람] 채소를 담은 자연주의 채담카레,"새싹이 듬뿍, 카레의 건강한 변신!","1,960원",X,1봉,160g,샛별배송/택배배송,냉장/종이포장
[푸드렐라] 통통살 가라아게,육즙이 가득한 풍성한 맛,"3,900원",X,해당사항없음,해당사항없음,샛별배송/택배배송,냉동/종이포장
[집으로ON] 팔선생 볶음밥 3종,집에서 맛보는 소문난 맛집의 볶음밥,"2,200원",X,1개,230g,샛별배송/택배배송,냉동/종이포장
친환경 채소믹스 500g,손질 없이 다양한 채소를 한 번에 (1팩 500g),"5,900원",X,1팩,500g,샛별배송/택배배송,냉장/종이포장
[빕스] 바베큐 폭립 오리지날,집에서 즐기는 빕스의 대표 메뉴,"12,860원",13%,PK,450g,샛별배송/택배배송,냉동/종이포장
[라쿠치나] 수프 6종,"NEW 헝가리안굴라쉬, 밤크림수프 오픈","2,340원",10%,1개,160g,샛별배송/택배배송,냉장/종이포장
[파워닭] 닭가슴살 5종 (냉동),"100g당 가격 : 1,700원(상품 패키지 리뉴얼)","1,700원",X,1개,100g,샛별배송/택배배송,냉동/종이포장
[자연실록] 닭가슴살 큐브 스테이크 3종,간편하게 구워 먹는 촉촉한 닭가슴살,"7,900원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[고베식당] 일본 정통 카레 4종,일본 유명 호텔 셰프들도 극찬한 카레! 장인의 노하우로 만든 80년 전통 일본 카레 ,"2,180원",X,1개,160g,샛별배송/택배배송,상온/종이포장
[사랑과정성] 크림스프 4종,힘이 되는 스프 한 그릇,"3,200원",X,1,200g,샛별배송/택배배송,냉장/종이포장
